sucursal,fecha_emision,dni_empleado,dni_admin,producto,categoria,familia,cantidad
catam5,,,,DIET DULCE DE LECHE,diet,,0
catam5,,,,DIET DURAZNO,diet,,0
catam5,,,,DIET VAINILLA,diet,,0
catam5,,,,BOMBON ROCHER,helado,chocolate,0
catam5,,,,CHOCOLATE,helado,chocolate,0
catam5,,,,CHOCOLATE A LA CUBANA,helado,chocolate,0
catam5,,,,CHOCOLATE AMARGO,helado,chocolate,0
catam5,,,,CHOCOLATE BLANCO,helado,chocolate,0
catam5,,,,CHOCOLATE CON ALMENDRAS,helado,chocolate,0
catam5,,,,CHOCOLATE CON CEREZAS,helado,chocolate,0
catam5,,,,CHOCOLATE DUBAI,helado,chocolate,0
catam5,,,,CHOCOLATE SUIZO,helado,chocolate,0
catam5,,,,KINDOVO,helado,chocolate,0
catam5,,,,MARROC,helado,chocolate,0
catam5,,,,ALMENDRADO,helado,crema blanca,0
catam5,,,,AMERICANA,helado,crema blanca,0
catam5,,,,ARANDANO Y CASSIS,helado,crema blanca,0
catam5,,,,BANANA SPLIT,helado,crema blanca,0
catam5,,,,BANANINA,helado,crema blanca,0
catam5,,,,BISCUIT,helado,crema blanca,0
catam5,,,,CAYOTE CON NUEZ,helado,crema blanca,0
catam5,,,,CEREZA,helado,crema blanca,0
catam5,,,,COCOLECHE,helado,crema blanca,0
catam5,,,,CREMA DE CAFE,helado,crema blanca,0
catam5,,,,CREMA DE HIGO CON NUEZ,helado,crema blanca,0
catam5,,,,CREMA DEL CIELO,helado,crema blanca,0
catam5,,,,CREMA RUSA,helado,crema blanca,0
catam5,,,,DELICIA TELLO,helado,crema blanca,0
catam5,,,,FRUTILLA A LA CREMA,helado,crema blanca,0
catam5,,,,FRUTOS DEL BOSQUE,helado,crema blanca,0
catam5,,,,GRANIZADO,helado,crema blanca,0
catam5,,,,LEMON PIE,helado,crema blanca,0
catam5,,,,MANTECOL,helado,crema blanca,0
catam5,,,,MANZANAS AL OPORTO,helado,crema blanca,0
catam5,,,,MARACUYA,helado,crema blanca,0
catam5,,,,MENTA GRANIZADA,helado,crema blanca,0
catam5,,,,PANACOTTA,helado,crema blanca,0
catam5,,,,PISTACHO,helado,crema blanca,0
catam5,,,,SAMBAYON,helado,crema blanca,0
catam5,,,,TIRAMISU,helado,crema blanca,0
catam5,,,,TORTA BROWNIE,helado,crema blanca,0
catam5,,,,YOGUR GRIEGO,helado,crema blanca,0
catam5,,,,CREMA DON PEDRO,helado,crema vainilla,0
catam5,,,,CREMA FLAN,helado,crema vainilla,0
